t,px,py,pz,vx,vy,vz
0.0000, 0.0000,  0.0000,  0.0000,    0.0000,  0.1961,  0.9806
0.1000, 0.0000,  0.0010,  0.0050,    0.0000,  0.1961,  0.9806
0.2000, 0.0000,  0.0040,  0.0200,    0.0000,  0.1961,  0.9806
0.3000, 0.0000,  0.0090,  0.0450,    0.0000,  0.1961,  0.9806
0.4000, 0.0000,  0.0160,  0.0800,    0.0000,  0.1961,  0.9806
0.5000, 0.0000,  0.0250,  0.1250,    0.0000,  0.1961,  0.9806
0.6000, 0.0000,  0.0360,  0.1800,    0.0000,  0.1961,  0.9806
0.7000, 0.0000,  0.0490,  0.2450,    0.0000,  0.1961,  0.9806
0.8000, 0.0000,  0.0640,  0.3200,    0.0000,  0.1961,  0.9806
0.9000, 0.0000,  0.0810,  0.4050,    0.0000,  0.1961,  0.9806
1.0000, 0.0000,  0.0995,  0.4974,    0.0000,  0.1961,  0.9806
1.1000, 0.0000,  0.1165,  0.5823,    0.0000,  0.1961,  0.9806
1.2000, 0.0000,  0.1314,  0.6572,    0.0000,  0.1961,  0.9806
1.3000, 0.0000,  0.1444,  0.7220,    0.0000,  0.1961,  0.9806
1.4000, 0.0000,  0.1560,  0.7770,    0.0000,  0.2651,  0.9642
1.5000, 0.0000,  0.1750,  0.8255,    0.0000,  0.4590,  0.8884
1.6000, 0.0000,  0.2040,  0.8695,    0.0000,  0.6348,  0.7727
1.7000, 0.0000,  0.2422,  0.9070,    0.0000,  0.7849,  0.6197
1.8000, 0.0000,  0.2862,  0.9348,    0.0000,  0.8960,  0.4440
1.9000, 0.0000,  0.3337,  0.9526,    0.0000,  0.9672,  0.2540
2.0000, 0.0000,  0.3832,  0.9604,    0.0000,  0.9984,  0.0561
2.1000, 0.0000,  0.4331,  0.9582,    0.0000,  0.9897, -0.1434
2.2000,-0.0000,  0.4860,  0.9489,   -0.0000,  0.9844, -0.1758
2.3000,-0.0000,  0.5488,  0.9377,   -0.0000,  0.9844, -0.1758
2.4000,-0.0000,  0.6216,  0.9247,   -0.0000,  0.9844, -0.1758
2.5000,-0.0000,  0.7044,  0.9099,   -0.0000,  0.9844, -0.1758
2.6000,-0.0000,  0.7972,  0.8934,   -0.0000,  0.9844, -0.1758
2.7000,-0.0000,  0.8970,  0.8755,   -0.0000,  0.9844, -0.1758
2.8000,-0.0000,  0.9970,  0.8577,   -0.0000,  0.9844, -0.1758
2.9000,-0.0000,  1.0970,  0.8398,   -0.0000,  0.9844, -0.1758
3.0000,-0.0000,  1.1970,  0.8220,   -0.0000,  0.9844, -0.1758
3.1000,-0.0000,  1.2970,  0.8041,   -0.0000,  0.9844, -0.1758
3.2000,-0.0000,  1.3970,  0.7863,   -0.0000,  0.9844, -0.1758
3.3000,-0.0000,  1.4970,  0.7684,   -0.0000,  0.9844, -0.1758
3.4000,-0.0000,  1.5970,  0.7505,   -0.0000,  0.9844, -0.1758
3.5000,-0.0000,  1.6970,  0.7327,   -0.0000,  0.9844, -0.1758
3.6000,-0.0000,  1.7970,  0.7148,   -0.0000,  0.9844, -0.1758
3.7000,-0.0000,  1.8970,  0.6970,   -0.0000,  0.9844, -0.1758
3.8000,-0.0000,  1.9970,  0.6791,   -0.0000,  0.9844, -0.1758
3.9000,-0.0000,  2.0970,  0.6613,   -0.0000,  0.9844, -0.1758
4.0000,-0.0000,  2.1970,  0.6434,   -0.0000,  0.9844, -0.1758
4.1000,-0.0000,  2.2970,  0.6255,   -0.0000,  0.9844, -0.1758
4.2000,-0.0000,  2.3969,  0.6077,   -0.0000,  0.9844, -0.1758
4.3000,-0.0000,  2.4908,  0.5909,   -0.0000,  0.9844, -0.1758
4.4000,-0.0000,  2.5748,  0.5759,   -0.0000,  0.9844, -0.1758
4.5000,-0.0000,  2.6487,  0.5627,   -0.0000,  0.9844, -0.1758
4.6000,-0.0000,  2.7127,  0.5513,   -0.0000,  0.9844, -0.1758
4.7000,-0.0000,  2.7666,  0.5417,   -0.0000,  0.9844, -0.1758
4.8000,-0.0000,  2.8106,  0.5338,   -0.0000,  0.9844, -0.1758
4.9000, 0.0003,  2.8447,  0.5276,    0.0727,  0.9731, -0.2186
5.0000, 0.0076,  2.8742,  0.5178,    0.3776,  0.8428, -0.3835
5.1000, 0.0240,  2.8976,  0.5035,    0.6314,  0.5961, -0.4960
5.2000, 0.0459,  2.9112,  0.4876,    0.7916,  0.2869, -0.5395
5.3000, 0.0705,  2.9148,  0.4718,    0.8539, -0.0487, -0.5181
5.4000, 0.0955,  2.9083,  0.4574,    0.8160, -0.3799, -0.4356
5.5000, 0.1189,  2.8919,  0.4459,    0.7013, -0.6376, -0.3188
5.6000, 0.1473,  2.8660,  0.4330,    0.7013, -0.6376, -0.3188
5.7000, 0.1858,  2.8311,  0.4156,    0.7013, -0.6376, -0.3188
5.8000, 0.2342,  2.7871,  0.3935,    0.7013, -0.6376, -0.3188
5.9000, 0.2927,  2.7339,  0.3670,    0.7013, -0.6376, -0.3188
6.0000, 0.3611,  2.6717,  0.3359,    0.7013, -0.6376, -0.3188
6.1000, 0.4395,  2.6004,  0.3002,    0.7013, -0.6376, -0.3188
6.2000, 0.5280,  2.5200,  0.2600,    0.7013, -0.6376, -0.3188
6.3000, 0.6248,  2.4320,  0.2160,    0.7013, -0.6376, -0.3188
6.4000, 0.7152,  2.3499,  0.1749,    0.7013, -0.6376, -0.3188
6.5000, 0.7955,  2.2768,  0.1384,    0.7013, -0.6376, -0.3188
6.6000, 0.8659,  2.2058,  0.1062,    0.6307, -0.7199, -0.2899
6.7000, 0.9264,  2.1278,  0.0783,    0.5461, -0.7980, -0.2548
6.8000, 0.9768,  2.0442,  0.0545,    0.4555, -0.8634, -0.2168
6.9000, 1.0172,  1.9560,  0.0350,    0.3602, -0.9160, -0.1765
7.0000, 1.0476,  1.8643,  0.0198,    0.2611, -0.9559, -0.1343
7.1000, 1.0681,  1.7702,  0.0089,    0.1595, -0.9830, -0.0907
7.2000, 1.0785,  1.6745,  0.0023,    0.0563, -0.9973, -0.0461
7.3000, 1.0789,  1.5782,  0.0000,   -0.0475, -0.9989, -0.0011
7.4000, 1.0739,  1.4790,  0.0000,   -0.0499, -0.9988,  0.0000
7.5000, 1.0689,  1.3790,  0.0000,   -0.0499, -0.9988,  0.0000
7.6000, 1.0639,  1.2790,  0.0000,   -0.0499, -0.9988,  0.0000
7.7000, 1.0589,  1.1790,  0.0000,   -0.0499, -0.9988,  0.0000
7.8000, 1.0539,  1.0790,  0.0000,   -0.0499, -0.9988,  0.0000
7.9000, 1.0489,  0.9790,  0.0000,   -0.0499, -0.9988,  0.0000
8.0000, 1.0439,  0.8790,  0.0000,   -0.0499, -0.9988,  0.0000
8.1000, 1.0389,  0.7790,  0.0000,   -0.0499, -0.9988,  0.0000
8.2000, 1.0339,  0.6790,  0.0000,   -0.0499, -0.9988,  0.0000
8.3000, 1.0290,  0.5797,  0.0000,   -0.0499, -0.9988,  0.0000
8.4000, 1.0244,  0.4886,  0.0000,   -0.0499, -0.9988,  0.0000
8.5000, 1.0204,  0.4075,  0.0000,   -0.0499, -0.9988,  0.0000
8.6000, 1.0168,  0.3364,  0.0000,   -0.0499, -0.9988,  0.0000
8.7000, 1.0138,  0.2753,  0.0000,   -0.0499, -0.9988,  0.0000
8.8000, 1.0112,  0.2242,  0.0000,   -0.0499, -0.9988,  0.0000
8.9000, 1.0092,  0.1831,  0.0000,   -0.0499, -0.9988,  0.0000
9.0000, 1.0076,  0.1520,  0.0000,   -0.0737, -0.9973,  0.0000
9.1000, 1.0006,  0.1266,  0.0000,   -0.4450, -0.8955,  0.0000
9.2000, 0.9838,  0.1050,  0.0000,   -0.7614, -0.6483,  0.0000
9.3000, 0.9603,  0.0920,  0.0000,   -0.9525, -0.3044,  0.0000
9.4000, 0.9344,  0.0889,  0.0000,   -0.9972,  0.0746, -0.0000
9.5000, 0.9091,  0.0959,  0.0000,   -0.8954,  0.4453, -0.0000
9.6000, 0.8872,  0.1128,  0.0000,   -0.7071,  0.7071,  0.0000
9.7000, 0.8602,  0.1398,  0.0000,   -0.7071,  0.7071,  0.0000
9.8000, 0.8233,  0.1767,  0.0000,   -0.7071,  0.7071,  0.0000
9.9000, 0.7763,  0.2237,  0.0000,   -0.7071,  0.7071,  0.0000
10.0000, 0.7194,  0.2806,  0.0000,   -0.7071,  0.7071,  0.0000
10.1000, 0.6524,  0.3476,  0.0000,   -0.7071,  0.7071,  0.0000
10.2000, 0.5755,  0.4245,  0.0000,   -0.7071,  0.7071,  0.0000
10.3000, 0.4887,  0.5113,  0.0000,   -0.7071,  0.7071,  0.0000
10.4000, 0.4046,  0.5954,  0.0000,   -0.7071,  0.7071,  0.0000
10.5000, 0.3306,  0.6694,  0.0000,   -0.7071,  0.7071,  0.0000
10.6000, 0.2665,  0.7335,  0.0000,   -0.7071,  0.7071,  0.0000
10.7000, 0.2124,  0.7876,  0.0000,   -0.7071,  0.7071,  0.0000
10.8000, 0.1683,  0.8317,  0.0000,   -0.7071,  0.7071,  0.0000
10.9000, 0.1342,  0.8658,  0.0000,   -0.7071,  0.7071,  0.0000
11.0000, 0.1078,  0.8906,  0.0016,   -0.7736,  0.6129,  0.1607
11.1000, 0.0791,  0.9086,  0.0122,   -0.8161,  0.3860,  0.4301
11.2000, 0.0509,  0.9176,  0.0315,   -0.7564,  0.1121,  0.6444
11.3000, 0.0268,  0.9165,  0.0567,   -0.6049, -0.1724,  0.7774
11.4000, 0.0091,  0.9055,  0.0854,   -0.3752, -0.4404,  0.8156
11.5000, 0.0006,  0.8859,  0.1135,   -0.1002, -0.6516,  0.7519
11.6000, 0.0000,  0.8594,  0.1406,    0.0000, -0.7071,  0.7071
11.7000, 0.0000,  0.8231,  0.1769,    0.0000, -0.7071,  0.7071
11.8000, 0.0000,  0.7769,  0.2231,    0.0000, -0.7071,  0.7071
11.9000, 0.0000,  0.7207,  0.2793,    0.0000, -0.7071,  0.7071
12.0000, 0.0000,  0.6544,  0.3456,    0.0000, -0.7071,  0.7071
12.1000, 0.0000,  0.5782,  0.4218,    0.0000, -0.7071,  0.7071
12.2000, 0.0000,  0.4920,  0.5080,    0.0000, -0.7071,  0.7071
12.3000, 0.0000,  0.3993,  0.6007,    0.0000, -0.7071,  0.7071
12.4000, 0.0000,  0.3149,  0.6851,    0.0000, -0.7071,  0.7071
12.5000, 0.0000,  0.2406,  0.7594,    0.0000, -0.7071,  0.7071
12.6000, 0.0000,  0.1762,  0.8238,    0.0000, -0.7071,  0.7071
12.7000, 0.0000,  0.1218,  0.8782,    0.0000, -0.7071,  0.7071
12.8000, 0.0000,  0.0775,  0.9225,    0.0000, -0.7071,  0.7071
12.9000, 0.0000,  0.0431,  0.9569,    0.0000, -0.7071,  0.7071
13.0000, 0.0000,  0.0187,  0.9813,    0.0000, -0.7071,  0.7071
13.1000, 0.0000,  0.0044,  0.9956,    0.0000, -0.7071,  0.7071
13.1936, 0.0000,  0.0000,  1.0000,    0.0000, -0.7071,  0.7071
